month,date,congress_support,consumer_confidence,crime_perception,exchange_rate,fiscal_balance,gdp,gdp_growth,government_approval,inequality,inflation,inflation_lag1,institutional_confidence,interest_rate,political_stability,poverty,protest_level,public_debt,real_wage,reserves,social_tension,unemployment,regime_mode,shocks_active,events
1,1983-12,51.243912953747774,37.47727334360381,48.12444272085096,102.13662015581266,-19.489558484678852,98.89483976270755,-2.3817985684667065,0.9001230945768535,43.24332429046837,16.718113977797294,17.7,57.591441669643785,236.39999999999998,98.36540889717871,39.334602858962995,11.376010206970635,57.912777869503316,91.54937056198224,7107.741024854293,50.653609515003,10.320771098600096,democracy,drought,
2,1984-01,50.590755538189775,30.171755334462148,47.863850695319776,104.31889176852758,-6.754781201724357,98.75690261386634,-2.165547902204154,0.0,44.57803361147107,17.424273498785347,16.718113977797294,41.716886542412176,218.39999999999998,96.59287714288907,48.24031240116527,32.44152228652708,54.12969988015036,82.7473251418493,4040.456655286487,67.03666611227354,10.89920445323147,democracy,drought|sovereign_default,
3,1984-02,52.106639543345565,24.76994805329886,49.080119597784574,106.54779023637434,-9.81006602513274,98.28812227110102,-3.1808201040239075,0.0,45.95790134931405,17.460943173867996,17.424273498785347,36.75229950765697,206.61736773356753,90.76431468270812,57.024520002189774,70.32275765859784,51.056643803021814,74.28185831394798,2174.1357180963737,86.58000562566988,12.069461759549592,democracy,sovereign_default,agreement_honored:gov_buenos_aires:restore_transfers|agreement_honored:gov_buenos_aires:restore_transfers
4,1984-03,52.83688769116601,21.619763309757957,51.44352781085215,126.01594278504695,-3.2794126902434484,98.57724743784343,-1.1502928746178012,0.0,47.429383800938226,18.311026849380998,17.460943173867996,31.16552266401745,215.09128198542416,78.34076769808055,65.07504351940676,94.26769738372882,51.169714422678766,66.43897333568717,1759.477258903738,100.0,11.858878146638713,democracy,sovereign_default,agreement_honored:gov_buenos_aires:restore_transfers|fx_regime_exit
5,1984-04,58.641514285631814,15.437021522601183,75.56258965634564,150.2601468514097,-5.512438766759953,98.01360969082604,-2.80007361711253,31.236563827163472,48.18615473229379,18.290165538130736,18.311026849380998,16.70633244894596,215.53131808641595,79.73582972424919,64.02904405196958,82.44687643993579,52.16441605515928,81.90253026788447,1763.4745336671172,100.0,12.026930227714551,democracy,commodity_boom|sovereign_default,agreement_honored:biz_agro:tax_exemption|agreement_honored:gov_buenos_aires:restore_transfers|fx_vector_switch:float
6,1984-05,63.23669895243537,11.183641366901611,92.56929241716841,179.50338618920023,-3.810467951042643,98.1794535969171,-1.3452127141926211,62.764973014209644,48.758419896155225,18.664420930536725,18.290165538130736,2.3773417216897745,225.73232219257198,84.01099532599052,62.69114689138114,57.13812174581664,52.60164872165154,102.62526029349856,1659.8852569759554,100.0,11.879210143505379,democracy,commodity_boom|sovereign_default,agreement_honored:gov_buenos_aires:restore_transfers
7,1984-06,58.28918707077173,8.26279022736937,100.0,215.62900529209202,-4.246392765985465,98.13151981668807,-1.116939132015394,74.62405831035126,49.09760502070881,18.85578192774295,18.664420930536725,0.0,225.48198645756884,89.91054383362639,60.96458050778285,52.84747524723163,53.31509354063634,128.23545261588595,1472.7921993721216,100.0,11.827890117147994,democracy,commodity_boom|sovereign_default,agreement_honored:gov_mendoza:restore_transfers
8,1984-07,70.66892547093664,6.3164722544942915,100.0,259.6311069559856,-6.9670114248483035,97.35423385286971,-3.5123637063579336,81.26240262918266,49.134430329001184,18.828998381679494,18.85578192774295,0.0,229.9730511664407,95.7195684104554,58.71924390238439,59.622332548944335,54.73847381855074,160.95709144455154,1308.7206062628848,99.0196914708898,12.09119707656674,democracy,commodity_boom|flood|sovereign_default,
9,1984-08,71.06821494009638,6.223223940177535,100.0,312.71182667751316,-3.993945137553462,97.42844556999114,-2.183078363016382,90.546084814763,48.79920238992791,19.15823615296679,18.828998381679494,0.0,232.26938313291538,100.0,55.74174942846939,42.166574642503825,55.381663015250446,200.0,1111.7279921470445,91.6706460428777,12.002259500354448,democracy,commodity_boom|flood|sovereign_default,agreement_honored:biz_agro:tax_exemption|agreement_honored:gov_mendoza:restore_transfers
10,1984-09,71.9921042003686,7.867382115292922,100.0,377.9393046557512,-5.2864301470217425,97.39041275002029,-1.6683855307907767,95.50492995718353,48.021771454106734,19.325644010132187,19.15823615296679,0.0,231.9479805801539,100.0,51.917606071314694,36.33415586433034,56.26832123374953,200.0,898.6751052450606,80.88430458017659,11.988710528221786,democracy,sovereign_default,agreement_honored:biz_agro:tax_exemption|agreement_honored:gov_mendoza:restore_transfers
11,1984-10,73.28308126615289,8.829296654769855,100.0,572.0555713399713,-7.630345474497058,96.49048957096736,-4.330441598933085,96.8958505019314,47.2291865352768,19.24577542060453,19.325644010132187,0.0,235.89883383560147,100.0,48.40640055632917,52.48048864196535,57.942813149842685,200.0,1874.5990978323568,70.59527032325961,12.345669885298724,democracy,sovereign_default,agreement_honored:biz_agro:tax_exemption|agreement_honored:gov_mendoza:restore_transfers|forced_devaluation
12,1984-11,63.59958942076808,8.490184597444465,100.0,692.0204515444885,-5.317662437389022,96.4905278450935,-3.0311663205635395,98.01897570996948,46.64005886602988,24.54182971532041,19.24577542060453,0.0,237.90772812158625,100.0,45.374333739452965,44.50942846208021,57.3513638487192,200.0,1398.3095205253564,64.43946643842992,12.303599986111465,democracy,sovereign_default,agreement_honored:gov_mendoza:restore_transfers
13,1984-12,71.63838288504762,8.735634261916738,100.0,875.7586244692742,-4.35297114616697,96.73728444053927,-1.1881233845177737,99.66479308076583,46.00726550313563,23.624955430616616,24.54182971532041,0.0,236.94930504725437,100.0,42.544301743496206,23.484267064008275,58.40650188040503,200.0,837.9386750755748,60.07089828907101,12.156115179486635,democracy,sovereign_default,
14,1985-01,74.27788859006289,9.750352927919652,100.0,1098.7694989927127,-4.586386279546628,96.7421473124535,-0.8135845794203816,100.0,45.14148440619415,23.50827360121852,23.624955430616616,0.0,300.0,100.0,39.35182653499819,19.072160164468343,59.357157109625916,200.0,281.44558519544734,51.95784408046651,12.118684649412582,democracy,sovereign_default,agreement_honored:gov_buenos_aires:restore_transfers|hyperinflation
