experiment,arm,seed,outcome,inflation_annual_final,gdp_growth_mean,unemployment_final,approval_final,stability_min,reserves_min,authority_violations,perception_gap_mean,agreements_broken,election_winner,election_turnover
central_bank_independence,dependent,0,defeated,51.57063787725158,1.5472614125114277,8.746390616013588,44.53474335169371,46.558351264163974,5258.8589560466025,0,0.576875,0,union_republicana,True
central_bank_independence,dependent,1,defeated,64.11002015722005,1.8131440120907574,8.691044919203984,43.748599018911754,44.41125021902022,4286.395414098211,0,0.47075,0,union_republicana,True
central_bank_independence,dependent,2,defeated,54.631408191259624,1.6783715501760381,8.126528788998629,45.93114151491718,47.29315175771926,3675.7080181382553,0,0.6415416666666667,0,union_republicana,True
central_bank_independence,dependent,3,hyperinflation,1801.46045302242,2.0092776448589706,8.609126885097522,0.0,6.1883461856387285,0.0,0,-0.1811081081081081,0,,
central_bank_independence,dependent,4,defeated,26.799592257190486,1.3281155534903573,9.775517903504664,43.95155873073718,48.25724556328327,8146.614890053427,0,0.740625,0,union_republicana,True
central_bank_independence,dependent,5,defeated,40.8128743829522,2.453853014098922,7.791232258853784,42.77834127667015,49.42284801290933,4856.240813262535,0,0.7518125,0,union_republicana,True
central_bank_independence,dependent,6,defeated,84.18555843368011,2.361312699450869,7.449029124892719,46.01728177111636,37.2765826268811,6514.132689295901,0,0.7350833333333333,0,union_republicana,True
central_bank_independence,dependent,7,defeated,18.421555508653988,0.30775487942780166,11.575161218225931,45.141536451057576,49.048414984658386,8172.318655380892,0,0.6282291666666666,0,union_republicana,True
central_bank_independence,dependent,8,defeated,187.2157735316801,2.615201708931293,6.967344182773339,46.13689071269009,44.136573640542906,642.2783132979822,0,0.6467708333333333,0,union_republicana,True
central_bank_independence,dependent,9,defeated,41.51939304440981,1.9830242221729437,8.02978647007984,42.749564187512874,37.69423691737094,1849.380323659678,0,0.7763125,0,union_republicana,True
central_bank_independence,dependent,10,defeated,32.10236747130904,0.8639442483819606,10.550799593005951,44.60865230313709,39.76822497022351,7595.220701128276,0,0.7033125,0,union_republicana,True
central_bank_independence,dependent,11,defeated,30.959975979746,0.769861144601468,10.439757381857538,41.65298704604305,50.750015155755335,7907.124222771196,0,0.6575833333333333,0,union_republicana,True
central_bank_independence,dependent,12,defeated,33.3110316409184,0.984975620683592,11.0661452139034,41.36550783838193,45.43514247175153,7263.303206058166,0,0.8110416666666667,0,union_republicana,True
central_bank_independence,dependent,13,defeated,59.51801430904526,2.0881315923024037,7.633165825932523,46.20676628723768,43.020561690157535,3041.3989200422634,0,0.7378750000000001,0,union_republicana,True
central_bank_independence,dependent,14,defeated,24.878962118245607,1.2742030136409215,9.435731630331368,43.853975574867775,42.257736035135615,8048.296918688704,0,0.7036875,0,union_republicana,True
central_bank_independence,dependent,15,reelected,19.20010188510355,1.8813582133029572,8.567120990451176,31.701019123765818,52.90478763083319,6030.674455080215,0,0.8396041666666667,0,frente_federal,False
central_bank_independence,dependent,16,defeated,12.700678327693527,0.7633234640426065,11.503744676233186,43.23629345421278,52.39776130043007,8081.414611612887,0,0.6797291666666667,0,union_republicana,True
