experiment,arm,seed,outcome,inflation_annual_final,gdp_growth_mean,unemployment_final,approval_final,stability_min,reserves_min,authority_violations,perception_gap_mean,agreements_broken,election_winner,election_turnover
fiscal_rule,base__c_f=0.08__primary_spending=23,0,defeated,-11.361512828387077,-2.9048741886568434,17.086804280691933,43.852756477832045,44.01809984893317,8210.73596077652,0,0.7502708333333333,0,union_republicana,True
fiscal_rule,base__c_f=0.08__primary_spending=23,1,defeated,-11.361512828387077,-3.3280549045181047,18.13425477882493,43.165331968450424,42.46402575760384,6782.92244396909,0,0.7433541666666666,0,union_republicana,True
fiscal_rule,base__c_f=0.08__primary_spending=23,2,defeated,-11.361512828387077,-3.3396147029950827,17.418614615128867,46.11433019598518,44.966068408768955,8310.347195549552,0,0.7888958333333334,0,union_republicana,True
fiscal_rule,base__c_f=0.08__primary_spending=23,3,defeated,-6.415358704131757,-3.0580482786290024,17.694402750026963,45.81446359004055,40.529808478405855,5252.369003278516,0,0.8030833333333334,0,union_republicana,True
fiscal_rule,base__c_f=0.08__primary_spending=23,4,defeated,-11.361512828387077,-3.0062747488632486,17.346524154772602,45.887434734684575,43.48591057215333,8189.424337989678,0,0.8339166666666666,0,union_republicana,True
fiscal_rule,base__c_f=0.08__primary_spending=23,5,defeated,-11.361512828387077,-3.0565447313136267,17.69145602165198,44.90926243595239,46.46037388340749,5555.095069753044,0,0.8208333333333333,0,union_republicana,True
fiscal_rule,base__c_f=0.08__primary_spending=23,6,defeated,-11.361512828387077,-3.411857458648647,17.775047325048984,45.00352730326242,40.3763612383883,8000.682935337141,0,0.9330833333333334,0,union_republicana,True
fiscal_rule,base__c_f=0.08__primary_spending=23,7,defeated,-11.361512828387077,-2.3895296587524797,16.287073431539035,44.116983636387765,47.65950057772259,8172.318655380892,0,0.7904166666666667,0,union_republicana,True
fiscal_rule,base__c_f=0.08__primary_spending=23,8,defeated,-11.361512828387077,-3.6373357437186025,17.91181500860876,43.73238393752625,44.07241726719357,7483.467428863715,0,0.9049375,0,union_republicana,True
fiscal_rule,base__c_f=0.08__primary_spending=23,9,defeated,-11.361512828387077,-2.863567179669686,16.830201781484405,43.25466145996282,34.32195118677566,7877.469535126,0,0.9032916666666667,0,union_republicana,True
fiscal_rule,base__c_f=0.08__primary_spending=23,10,defeated,-11.361512828387077,-2.9031803425471545,17.336009931879566,43.93831572845225,36.73988288654244,8103.160734832551,0,0.811375,0,union_republicana,True
fiscal_rule,base__c_f=0.08__primary_spending=23,11,defeated,-11.361512828387077,-2.754016534285584,16.822638897438434,41.10765578778304,47.868677895453075,7966.355769179415,0,0.7787708333333333,0,union_republicana,True
fiscal_rule,base__c_f=0.08__primary_spending=23,12,defeated,-7.205578730317585,-2.759026129941771,17.423134479260685,41.17395703782138,41.06964960066559,7972.0810876476135,0,0.8965,0,union_republicana,True
fiscal_rule,base__c_f=0.08__primary_spending=23,13,defeated,-11.361512828387077,-3.384392802304878,17.483033602432446,45.78981386698067,40.82829137956709,7217.095616147928,0,0.8879166666666667,0,union_republicana,True
fiscal_rule,base__c_f=0.08__primary_spending=23,14,defeated,-11.361512828387077,-2.856748020794482,16.655155681193165,44.962210855164436,37.69061504717517,8267.69733054358,0,0.7915625000000001,0,union_republicana,True
fiscal_rule,base__c_f=0.08__primary_spending=23,15,defeated,-11.361512828387077,-2.4306280449476674,15.839963626014878,43.5073008373788,48.31242710647783,8170.340437106848,0,0.9260208333333333,0,union_republicana,True
fiscal_rule,base__c_f=0.08__primary_spending=23,16,defeated,-11.361512828387077,-2.724943596853169,17.46698177151245,43.490065006194186,47.80432018948717,8128.215700780873,0,0.7626666666666667,0,union_republicana,True
fiscal_rule,base__c_f=0.08__primary_spending=23,17,defeated,-11.361512828387077,-3.254211386686955,18.40375951747972,45.17198907391593,44.405653248996884,7953.332093709662,0,0.7831458333333333,0,union_republicana,True
