evaluations,generation,popsize,best_scalar_this_gen,mean_scalar_this_gen,best_scalar_so_far,wall_seconds
18,1,18,36.866346298609876,91.72455533315609,36.866346298609876,24.67960524559021
36,2,18,31.134933471131408,55.03599965203588,31.134933471131408,49.698214054107666
54,3,18,31.308934359004088,42.79522479605356,31.134933471131408,74.96132063865662
72,4,18,23.99284447637011,40.069840181332864,23.99284447637011,100.38502335548401
90,5,18,21.23360000298641,32.8355034995989,21.23360000298641,125.68953967094421
108,6,18,21.62596929835503,30.973756621613386,21.23360000298641,150.8137857913971
126,7,18,23.149973609358998,30.25845079650633,21.23360000298641,176.02146315574646
144,8,18,20.649697792708228,35.51629585682767,20.649697792708228,200.98896288871765
162,9,18,21.155034150499237,31.689651833603346,20.649697792708228,225.964586019516
180,10,18,22.977697908713026,30.05814657182753,20.649697792708228,251.03510785102844
198,11,18,22.66582544259167,27.717794463883592,20.649697792708228,276.35420417785645
216,12,18,20.394327761285478,27.20187734942333,20.394327761285478,301.5548622608185
234,13,18,20.259955402073054,27.694151761023598,20.259955402073054,327.6307306289673
252,14,18,19.19562115351636,26.02654668745898,19.19562115351636,353.03881335258484
270,15,18,21.53959821122401,24.99554625856722,19.19562115351636,378.2079801559448
288,16,18,20.77100339211361,25.4299971008761,19.19562115351636,403.41871094703674
306,17,18,21.57543720672591,26.79248111283361,19.19562115351636,428.4429075717926
324,18,18,20.996024948831472,26.823088001776323,19.19562115351636,453.47501587867737
342,19,18,21.970661059372546,27.852503009968327,19.19562115351636,478.5793488025665
360,20,18,20.67035381441085,25.41695425035013,19.19562115351636,503.7606883049011
378,21,18,19.17748975337811,24.593517714926733,19.17748975337811,528.7221894264221
396,22,18,19.440487606377957,25.517698737535216,19.17748975337811,553.9037938117981
414,23,18,19.435742955715877,23.814726505542197,19.17748975337811,579.440283536911
