month,date,congress_support,consumer_confidence,crime_perception,exchange_rate,fiscal_balance,gdp,gdp_growth,government_approval,inequality,inflation,inflation_lag1,institutional_confidence,interest_rate,political_stability,poverty,protest_level,public_debt,real_wage,reserves,social_tension,unemployment,regime_mode,shocks_active,events
1,2019-12,52.46677446495141,52.43002223350889,47.95846106637388,102.91547918455896,-2.8622140236634563,100.09346662903414,-0.5802726264968004,46.08317604703581,41.794348921449355,3.8912149785930934,3.74370735513833,61.742857245844675,57.05444771376372,77.31335026477917,32.100818743411985,41.6240429221301,71.9712196570642,103.04033395173415,45523.79095627683,39.761574767306215,10.328388882890376,democracy,,
2,2020-01,51.53703122038017,60.99167087401504,46.3597035315413,105.91595855787389,-1.2348082045411415,100.8260290886427,2.337259791724435,47.438295562181395,41.58547074335723,4.219362814261599,3.8912149785930934,59.92978086274699,50.92448826165996,73.38720502547024,29.216712277610014,39.11749276049539,71.0781680560557,105.37939320380889,48651.69688282237,43.65740799378923,10.04652926937952,democracy,commodity_boom|growth_surprise,agreement_honored:gov_caba:restore_transfers
3,2020-02,53.45317019624593,63.571220716456416,45.0492745692842,109.0039162827548,-2.0728734338852632,101.38887368510419,3.708586531671868,47.67449102166769,41.36507688795923,4.386863536675711,4.219362814261599,58.014814408285616,52.69457974311712,69.7869165701479,26.7490793385995,37.13336632562512,70.33120889494205,107.74574566785873,50481.96953858842,46.39323658467761,9.835193991705678,democracy,commodity_boom,
4,2020-03,53.688795410806605,64.71591685471527,43.92095820441052,112.1819027723326,-2.48202571419807,101.5574175059937,3.1999586481415174,46.12414651619825,41.123958658017465,4.372254767932171,4.386863536675711,56.13951747879494,56.63235377113919,66.76682731257657,24.606667860485558,35.56485812026053,69.90884532814792,110.50709729293938,52071.96873027635,48.17191549103069,9.7647702581033,democracy,commodity_boom,agreement_honored:gov_caba:restore_transfers
5,2020-04,53.40351493492608,63.81423454569447,42.89851453908946,115.45254279650214,-3.9723499748819338,101.31391122453566,1.3880844003945922,41.58920312202072,40.851837171298186,4.1945826683933225,4.372254767932171,54.42902066721697,58.64236244010853,63.99833819108091,22.720118420673046,54.34798004929047,69.96039311218705,113.56345232133465,53623.73806408808,49.1571501121913,9.834342592698281,democracy,commodity_boom,agreement_honored:gov_caba:restore_transfers
6,2020-05,53.11292437902273,63.93665186700014,41.941133328116244,118.8185376497782,-2.888336669505538,101.51626098138651,1.6986221239835682,40.99243416298297,40.56052677306742,4.332639246151626,4.1945826683933225,52.64487660687078,58.46705721518605,61.518221672189256,21.009860870880072,50.11597098946589,69.5656336862684,116.82865631958117,55147.26397419481,49.899574423750295,9.754647005153208,democracy,commodity_boom,agreement_honored:gov_caba:restore_transfers
7,2020-06,51.98761707447879,70.22085116341995,40.98178429293327,122.28266738235483,-1.7459725703465778,102.16802997939745,3.5837475261975014,41.37660191902373,40.258282323374445,4.596965591490781,4.332639246151626,50.697468966084315,56.334992020719866,59.334987101655855,19.435859108508637,46.623164459991,68.67962798311177,119.86129662633509,56767.538812358995,50.12307321151746,9.530896584137302,democracy,growth_surprise,
8,2020-07,42.362677821735495,70.25875476385954,40.00003077286427,125.84779309621086,-2.002273641910333,102.4828774973821,3.6370200994303863,39.19687437305554,39.9352695789661,4.638409254834872,4.596965591490781,49.25739467410732,57.99167095381951,57.27465447803824,17.977763628708693,43.69889938535887,68.04318561626916,122.95419067473121,57330.594529879396,49.90981303470994,9.429282992882284,democracy,drought,agreement_broken:gov_caba:restore_transfers:government
9,2020-08,51.23004687230049,66.30187386327604,39.0692158057011,129.51685930815773,-6.793897181931401,101.60128815787031,-0.4085187389164724,31.414717520112973,39.5646484487911,4.1242435547472045,4.638409254834872,48.227715768274344,61.16358709788937,54.334032544043616,16.675841726979762,41.293210740693,68.7834313042324,126.40382714730052,58184.59939342834,49.31613123224038,10.224816738639433,democracy,drought|epidemic,
10,2020-09,50.390533509217974,66.99852753712968,38.07758475146202,133.2928963817816,-5.381971188338127,101.14957039529182,-1.847953616230474,28.452007850137004,39.1655312512051,4.123062785654165,4.1242435547472045,46.70924072175082,61.660911058018456,52.63818487000361,15.406363567287215,39.44264458928134,69.12243026128397,130.33625784815717,58678.59863224587,48.37577104219171,10.349615933313146,democracy,epidemic|growth_surprise,
