month,date,congress_support,consumer_confidence,crime_perception,exchange_rate,fiscal_balance,gdp,gdp_growth,government_approval,inequality,inflation,inflation_lag1,institutional_confidence,interest_rate,political_stability,poverty,protest_level,public_debt,real_wage,reserves,social_tension,unemployment,regime_mode,shocks_active,events
1,2023-12,46.38710011653953,0.0,47.99696661893096,102.72334513092683,-2.653731992226066,100.32646668837515,-1.4408158189349174,3.0415050547205036,43.43197457336583,24.842775114961942,25.46567498423684,38.961887797306375,159.72828212298887,78.69798536336333,36.93474626809272,28.55814886774403,51.49686077052744,87.93727163742186,23090.95553507043,50.101665391586735,7.667681604961009,democracy,,
2,2024-01,53.55665081335045,0.0,46.76993728040919,105.52085634887509,-8.70714271752075,99.83484902978499,-2.7258603586245416,0.43299946368785636,44.882616577392014,25.30722304909112,24.842775114961942,21.46371124149593,300.0,76.00487482938371,33.759510436292004,39.023965138984266,46.65980575551734,87.6526849252903,21479.044417324723,64.77190794849402,7.819966594518061,democracy,,agreement_honored:gov_buenos_aires:restore_transfers
3,2024-02,44.67201038927197,0.0,46.222786417600794,108.39455345236446,-9.77178401946805,99.05513939379813,-4.602017742815761,0.0,46.37452891796503,26.141244707264562,25.30722304909112,0.0,300.0,72.85276351430656,31.87799647541014,56.90705896203114,42.37516069624007,85.9821898049844,16692.883228593597,77.36990000369985,8.034912133382146,democracy,banking_crisis|sovereign_default,hyperinflation
