month,date,congress_support,consumer_confidence,crime_perception,exchange_rate,fiscal_balance,gdp,gdp_growth,government_approval,inequality,inflation,inflation_lag1,institutional_confidence,interest_rate,political_stability,poverty,protest_level,public_debt,real_wage,reserves,social_tension,unemployment,regime_mode,shocks_active,events
1,2023-12,47.39975990271584,0.0,47.99707542666866,102.72334513092683,-2.700215121977904,100.32058912070421,-1.4627403796184146,3.8719490435570543,43.43195003549256,24.84178597482673,25.46567498423684,38.96260288821549,159.72828212298887,83.74679608564087,36.9350305776174,3.558272398539451,51.50442155403035,87.93577577265604,23163.79691411983,50.101822488341895,7.66900605162875,democracy,,
2,2024-01,51.77763325142969,0.0,46.79769338911843,105.52085634887509,-13.397802969518938,99.23407572627531,-4.6988008667927454,0.26698666426666506,44.88013212441611,25.21046091594944,24.84178597482673,21.567025445368923,300.0,80.71301616143856,33.787495063165736,40.817934233827984,47.38778982763036,87.51574581854211,21776.647908876625,65.10618857506543,7.954897179810572,democracy,,agreement_honored:gov_cordoba:restore_transfers
3,2024-02,45.6192415914949,0.0,46.23835016635589,108.39455345236446,1.3216316830886288,99.85673121979703,-0.9506918350497595,0.0,46.39262269139671,26.698424673934745,25.21046091594944,0.0,300.0,77.49485887616952,31.88269888208747,42.63047147709862,41.2996836251745,85.87467686570615,17852.989241375784,77.40350908928619,7.849883712993608,democracy,sovereign_default,hyperinflation
